Mods count: 58
 
jar name                                                                     | mod id (isMCreator)                                | mixin configs
        /META-INF/jars/porting_lib_gui_utils-2.3.8+1.20.1.jar                | porting_lib_gui_utils                              | porting_lib_gui_utils.mixins.json
        /META-INF/jars/core-3.6.6.jar                                        | com_electronwill_night-config_core                 | 
        /META-INF/jars/porting_lib_extensions-2.3.8+1.20.1.jar               | porting_lib_extensions                             | porting_lib_extensions.mixins.json
        /META-INF/jars/porting_lib_common-2.3.8+1.20.1.jar                   | porting_lib_common                                 | porting_lib_common.mixins.json
    /META-INF/jars/brewing-2.3.8+1.20.1.jar                                  | porting_lib_brewing                                | porting_lib_brewing.mixins.json
        /META-INF/jars/porting_lib_core-2.3.8+1.20.1.jar                     | porting_lib_core                                   | 
    /META-INF/jars/client_events-2.3.8+1.20.1.jar                            | porting_lib_client_events                          | porting_lib_client_events.mixins.json
        /META-INF/jars/porting_lib_core-2.3.8+1.20.1.jar                     | porting_lib_core                                   | 
    /META-INF/jars/core-3.6.3.jar                                            | com_electronwill_night-config_core                 | 
    /META-INF/jars/entity-2.3.8+1.20.1.jar                                   | porting_lib_entity                                 | porting_lib_entity.mixins.json
        /META-INF/jars/porting_lib_core-2.3.8+1.20.1.jar                     | porting_lib_core                                   | 
        /META-INF/jars/porting_lib_mixin_extensions-2.3.8+1.20.1.jar         | porting_lib_mixin_extensions                       | porting_lib_mixin_extensions.mixins.json
    /META-INF/jars/extensions-2.3.8+1.20.1.jar                               | porting_lib_extensions                             | porting_lib_extensions.mixins.json
        /META-INF/jars/porting_lib_core-2.3.8+1.20.1.jar                     | porting_lib_core                                   | 
        /META-INF/jars/reach-entity-attributes-2.4.0.jar                     | reach-entity-attributes                            | mixins.reach-entity-attributes.json
        /META-INF/jars/porting_lib_attributes-2.3.8+1.20.1.jar               | porting_lib_attributes                             | porting_lib_attributes.mixins.json
        /META-INF/jars/porting_lib_accessors-2.3.8+1.20.1.jar                | porting_lib_accessors                              | porting_lib_accessors.mixins.json
        /META-INF/jars/porting_lib_common-2.3.8+1.20.1.jar                   | porting_lib_common                                 | porting_lib_common.mixins.json
    /META-INF/jars/flywheel-fabric-1.20.1-0.6.11-4.jar                       | flywheel                                           | flywheel.fabric.mixins.json, flywheel.sodium.mixins.json, flywheel.mixins.json
    /META-INF/jars/forgeconfigapiport-fabric-8.0.0.jar                       | forgeconfigapiport                                 | forgeconfigapiport.common.mixins.json
    /META-INF/jars/jsr305-3.0.2.jar                                          | com_google_code_findbugs_jsr305                    | 
    /META-INF/jars/milk-lib-1.2.60.jar                                       | milk                                               | milk.mixins.json
        /META-INF/jars/dripstone-fluid-lib-3.0.2.jar                         | dripstone_fluid_lib                                | dripstone_fluid_lib.mixins.json
    /META-INF/jars/models-2.3.8+1.20.1.jar                                   | porting_lib_models                                 | porting_lib_models.mixins.json
        /META-INF/jars/porting_lib_transfer-2.3.8+1.20.1.jar                 | porting_lib_transfer                               | porting_lib_transfer.mixins.json
        /META-INF/jars/porting_lib_fluids-2.3.8+1.20.1.jar                   | porting_lib_fluids                                 | porting_lib_fluids.mixins.json
        /META-INF/jars/porting_lib_core-2.3.8+1.20.1.jar                     | porting_lib_core                                   | 
        /META-INF/jars/porting_lib_model_loader-2.3.8+1.20.1.jar             | porting_lib_model_loader                           | porting_lib_model_loader.mixins.json
    /META-INF/jars/networking-2.3.8+1.20.1.jar                               | porting_lib_networking                             | 
        /META-INF/jars/porting_lib_core-2.3.8+1.20.1.jar                     | porting_lib_core                                   | 
    /META-INF/jars/obj_loader-2.3.8+1.20.1.jar                               | porting_lib_obj_loader                             | 
        /META-INF/jars/porting_lib_core-2.3.8+1.20.1.jar                     | porting_lib_core                                   | 
        /META-INF/jars/porting_lib_model_loader-2.3.8+1.20.1.jar             | porting_lib_model_loader                           | porting_lib_model_loader.mixins.json
    /META-INF/jars/reach-entity-attributes-2.4.0.jar                         | reach-entity-attributes                            | mixins.reach-entity-attributes.json
    /META-INF/jars/tags-2.3.8+1.20.1.jar                                     | porting_lib_tags                                   | porting_lib_tags.mixins.json
        /META-INF/jars/porting_lib_core-2.3.8+1.20.1.jar                     | porting_lib_core                                   | 
    /META-INF/jars/toml-3.6.3.jar                                            | com_electronwill_night-config_toml                 | 
    /META-INF/jars/tool_actions-2.3.8+1.20.1.jar                             | porting_lib_tool_actions                           | porting_lib_tool_actions.mixins.json
        /META-INF/jars/porting_lib_core-2.3.8+1.20.1.jar                     | porting_lib_core                                   | 
    /META-INF/jars/transfer-2.3.8+1.20.1.jar                                 | porting_lib_transfer                               | porting_lib_transfer.mixins.json
        /META-INF/jars/porting_lib_fluids-2.3.8+1.20.1.jar                   | porting_lib_fluids                                 | porting_lib_fluids.mixins.json
        /META-INF/jars/porting_lib_core-2.3.8+1.20.1.jar                     | porting_lib_core                                   | 
cupboard-fabric-1.20.1-2.7.jar                                               | cupboard                                           | cupboard.mixins.json
cwb-fabric-3.0.0+mc1.20.jar                                                  | cubes-without-borders                              | cubes-without-borders.mixins.json, cubes-without-borders.sodium.mixins.json
DistantHorizons-2.3.6-b-1.20.1-fabric-forge.jar                              | distanthorizons                                    | DistantHorizons.forge.mixins.json, DistantHorizons.fabric.mixins.json
    /META-INF/jars/fabric-screen-api-v1-2.0.7+b3afc78b77.jar                 | fabric-screen-api-v1                               | fabric-screen-api-v1.mixins.json
    /META-INF/jars/fabric-resource-loader-v0-0.11.9+132c48c177.jar           | fabric-resource-loader-v0                          | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
    /META-INF/jars/fabric-rendering-v1-3.0.7+b3afc78b77.jar                  | fabric-rendering-v1                                | fabric-rendering-v1.mixins.json
    /META-INF/jars/fabric-networking-api-v1-1.3.10+eeb8eb3677.jar            | fabric-networking-api-v1                           | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json
    /META-INF/jars/fabric-lifecycle-events-v1-2.2.21+b3afc78b77.jar          | fabric-lifecycle-events-v1                         | fabric-lifecycle-events-v1.client.mixins.json, fabric-lifecycle-events-v1.mixins.json
    /META-INF/jars/fabric-key-binding-api-v1-1.0.36+fb8d95da77.jar           | fabric-key-binding-api-v1                          | fabric-key-binding-api-v1.mixins.json
    /META-INF/jars/fabric-events-interaction-v0-0.6.1+e91849a877.jar         | fabric-events-interaction-v0                       | fabric-events-interaction-v0.client.mixins.json, fabric-events-interaction-v0.mixins.json
    /META-INF/jars/fabric-entity-events-v1-1.5.22+b3afc78b77.jar             | fabric-entity-events-v1                            | fabric-entity-events-v1.client.mixins.json, fabric-entity-events-v1.mixins.json
    /META-INF/jars/fabric-command-api-v2-2.2.12+b3afc78b77.jar               | fabric-command-api-v2                              | fabric-command-api-v2.mixins.json, fabric-command-api-v2.client.mixins.json
    /META-INF/jars/fabric-api-base-0.4.30+7abfd51577.jar                     | fabric-api-base                                    | 
dynamic-fps-3.9.5+minecraft-1.20.0-fabric.jar                                | dynamic_fps                                        | dynamic_fps-textile.mixins.json, dynamic_fps-common.mixins.json, dynamic_fps.mixins.json
    /META-INF/jars/battery-1.3.0.jar                                         | net_lostluma_battery                               | 
dynamiclights-v1.9-mc1.17-1.21.9-mod.jar                                     | dynamiclights                                      | 
embeddium-fabric-0.3.25+mc1.20.1.jar                                         | embeddium                                          | embeddium.mixins.json
    /META-INF/jars/fabric-api-base-0.4.31+1802ada577.jar                     | fabric-api-base                                    | 
    /META-INF/jars/fabric-block-view-api-v2-1.0.1+1802ada577.jar             | fabric-block-view-api-v2                           | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jars/fabric-renderer-api-v1-3.2.1+1802ada577.jar               | fabric-renderer-api-v1                             | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
    /META-INF/jars/fabric-renderer-indigo-1.5.2+85287f9f77.jar               | fabric-renderer-indigo                             | fabric-renderer-indigo.mixins.json
    /META-INF/jars/fabric-rendering-data-attachment-v1-0.3.37+92a0d36777.jar | fabric-rendering-data-attachment-v1                | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
    /META-INF/jars/fabric-rendering-fluids-v1-3.0.28+1802ada577.jar          | fabric-rendering-fluids-v1                         | fabric-rendering-fluids-v1.mixins.json
    /META-INF/jars/fabric-resource-loader-v0-0.11.10+1802ada577.jar          | fabric-resource-loader-v0                          | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
    /META-INF/jars/indium.jar                                                | indium                                             | 
    /META-INF/jars/sodium.jar                                                | sodium                                             | 
entityculling-fabric-1.9.3-mc1.20.1.jar                                      | entityculling                                      | entityculling.mixins.json, entityculling.refmap.mixins.json
    /META-INF/jars/TRansition-1.0.8-1.20.1-fabric-SNAPSHOT.jar               | transition                                         | transition.mixins.json, transition.refmap.mixins.json
    /META-INF/jars/TRender-1.0.8-1.20.1-fabric-SNAPSHOT.jar                  | trender                                            | trender.mixins.json, trender.refmap.mixins.json
Estrogen-4.3.4+1.20.1-fabric.jar                                             | estrogen                                           | estrogen-common.mixins.json
    /META-INF/jars/baubly-fabric-1.20.1-1.0.1.jar                            | baubly                                             | 
    /META-INF/jars/critter-fabric-0.1-beta.14.jar                            | critter_lib                                        | 
    /META-INF/jars/jukeboxfix-1.0.1-1.20.1.jar                               | jukeboxfix                                         | forge-jukeboxfix-common.mixins.json, fabric-jukeboxfix-common.mixins.json
    /META-INF/jars/resourceful-cosmetics-4j-1.0.4.jar                        | com_teamresourceful_resourceful-cosmetics-4j       | 
fabric-api-0.92.6+1.20.1.jar                                                 | fabric-api                                         | 
    /META-INF/jars/fabric-api-base-0.92.6.jar                                | fabric-api-base                                    | 
    /META-INF/jars/fabric-api-lookup-api-v1-0.92.6.jar                       | fabric-api-lookup-api-v1                           | fabric-api-lookup-api-v1.mixins.json
    /META-INF/jars/fabric-biome-api-v1-0.92.6.jar                            | fabric-biome-api-v1                                | fabric-biome-api-v1.mixins.json
    /META-INF/jars/fabric-block-api-v1-0.92.6.jar                            | fabric-block-api-v1                                | fabric-block-api-v1.mixins.json
    /META-INF/jars/fabric-block-view-api-v2-0.92.6.jar                       | fabric-block-view-api-v2                           | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jars/fabric-blockrenderlayer-v1-0.92.6.jar                     | fabric-blockrenderlayer-v1                         | fabric-blockrenderlayer-v1.mixins.json
    /META-INF/jars/fabric-client-tags-api-v1-0.92.6.jar                      | fabric-client-tags-api-v1                          | 
    /META-INF/jars/fabric-command-api-v1-0.92.6.jar                          | fabric-command-api-v1                              | 
    /META-INF/jars/fabric-command-api-v2-0.92.6.jar                          | fabric-command-api-v2                              | fabric-command-api-v2.mixins.json, fabric-command-api-v2.client.mixins.json
    /META-INF/jars/fabric-commands-v0-0.92.6.jar                             | fabric-commands-v0                                 | 
    /META-INF/jars/fabric-containers-v0-0.92.6.jar                           | fabric-containers-v0                               | fabric-containers-v0.accurate.mixins.json, fabric-containers-v0.mixins.json
    /META-INF/jars/fabric-content-registries-v0-0.92.6.jar                   | fabric-content-registries-v0                       | fabric-content-registries-v0.mixins.json
    /META-INF/jars/fabric-convention-tags-v1-0.92.6.jar                      | fabric-convention-tags-v1                          | 
    /META-INF/jars/fabric-crash-report-info-v1-0.92.6.jar                    | fabric-crash-report-info-v1                        | fabric-crash-report-info-v1.mixins.json
    /META-INF/jars/fabric-data-attachment-api-v1-0.92.6.jar                  | fabric-data-attachment-api-v1                      | fabric-data-attachment-api-v1.mixins.json, fabric-data-attachment-api-v1.client.mixins.json
    /META-INF/jars/fabric-data-generation-api-v1-0.92.6.jar                  | fabric-data-generation-api-v1                      | fabric-data-generation-api-v1.mixins.json, fabric-data-generation-api-v1.client.mixins.json
    /META-INF/jars/fabric-dimensions-v1-0.92.6.jar                           | fabric-dimensions-v1                               | fabric-dimensions-v1.mixins.json
    /META-INF/jars/fabric-entity-events-v1-0.92.6.jar                        | fabric-entity-events-v1                            | fabric-entity-events-v1.client.mixins.json, fabric-entity-events-v1.mixins.json
    /META-INF/jars/fabric-events-interaction-v0-0.92.6.jar                   | fabric-events-interaction-v0                       | fabric-events-interaction-v0.client.mixins.json, fabric-events-interaction-v0.mixins.json
    /META-INF/jars/fabric-events-lifecycle-v0-0.92.6.jar                     | fabric-events-lifecycle-v0                         | 
    /META-INF/jars/fabric-game-rule-api-v1-0.92.6.jar                        | fabric-game-rule-api-v1                            | fabric-game-rule-api-v1.mixins.json, fabric-game-rule-api-v1.client.mixins.json
    /META-INF/jars/fabric-item-api-v1-0.92.6.jar                             | fabric-item-api-v1                                 | fabric-item-api-v1.client.mixins.json, fabric-item-api-v1.mixins.json
    /META-INF/jars/fabric-item-group-api-v1-0.92.6.jar                       | fabric-item-group-api-v1                           | fabric-item-group-api-v1.client.mixins.json, fabric-item-group-api-v1.mixins.json
    /META-INF/jars/fabric-key-binding-api-v1-0.92.6.jar                      | fabric-key-binding-api-v1                          | fabric-key-binding-api-v1.mixins.json
    /META-INF/jars/fabric-keybindings-v0-0.92.6.jar                          | fabric-keybindings-v0                              | 
    /META-INF/jars/fabric-lifecycle-events-v1-0.92.6.jar                     | fabric-lifecycle-events-v1                         | fabric-lifecycle-events-v1.client.mixins.json, fabric-lifecycle-events-v1.mixins.json
    /META-INF/jars/fabric-loot-api-v2-0.92.6.jar                             | fabric-loot-api-v2                                 | fabric-loot-api-v2.mixins.json
    /META-INF/jars/fabric-loot-tables-v1-0.92.6.jar                          | fabric-loot-tables-v1                              | fabric-loot-tables-v1.mixins.json
    /META-INF/jars/fabric-message-api-v1-0.92.6.jar                          | fabric-message-api-v1                              | fabric-message-api-v1.client.mixins.json, fabric-message-api-v1.mixins.json
    /META-INF/jars/fabric-mining-level-api-v1-0.92.6.jar                     | fabric-mining-level-api-v1                         | fabric-mining-level-api-v1.mixins.json
    /META-INF/jars/fabric-model-loading-api-v1-0.92.6.jar                    | fabric-model-loading-api-v1                        | fabric-model-loading-api-v1.mixins.json
    /META-INF/jars/fabric-models-v0-0.92.6.jar                               | fabric-models-v0                                   | 
    /META-INF/jars/fabric-networking-api-v1-0.92.6.jar                       | fabric-networking-api-v1                           | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json
    /META-INF/jars/fabric-networking-v0-0.92.6.jar                           | fabric-networking-v0                               | 
    /META-INF/jars/fabric-object-builder-api-v1-0.92.6.jar                   | fabric-object-builder-api-v1                       | fabric-object-builder-v1.mixins.json, fabric-object-builder-v1.client.mixins.json
    /META-INF/jars/fabric-particles-v1-0.92.6.jar                            | fabric-particles-v1                                | fabric-particles-v1.client.mixins.json
    /META-INF/jars/fabric-recipe-api-v1-0.92.6.jar                           | fabric-recipe-api-v1                               | fabric-recipe-api-v1.mixins.json
    /META-INF/jars/fabric-registry-sync-v0-0.92.6.jar                        | fabric-registry-sync-v0                            | fabric-registry-sync-v0.mixins.json, fabric-registry-sync-v0.client.mixins.json
    /META-INF/jars/fabric-renderer-api-v1-0.92.6.jar                         | fabric-renderer-api-v1                             | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
    /META-INF/jars/fabric-renderer-indigo-0.92.6.jar                         | fabric-renderer-indigo                             | fabric-renderer-indigo.mixins.json
    /META-INF/jars/fabric-renderer-registries-v1-0.92.6.jar                  | fabric-renderer-registries-v1                      | 
    /META-INF/jars/fabric-rendering-data-attachment-v1-0.92.6.jar            | fabric-rendering-data-attachment-v1                | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
    /META-INF/jars/fabric-rendering-fluids-v1-0.92.6.jar                     | fabric-rendering-fluids-v1                         | fabric-rendering-fluids-v1.mixins.json
    /META-INF/jars/fabric-rendering-v0-0.92.6.jar                            | fabric-rendering-v0                                | 
    /META-INF/jars/fabric-rendering-v1-0.92.6.jar                            | fabric-rendering-v1                                | fabric-rendering-v1.mixins.json
    /META-INF/jars/fabric-resource-conditions-api-v1-0.92.6.jar              | fabric-resource-conditions-api-v1                  | fabric-resource-conditions-api-v1.mixins.json
    /META-INF/jars/fabric-resource-loader-v0-0.92.6.jar                      | fabric-resource-loader-v0                          | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
    /META-INF/jars/fabric-screen-api-v1-0.92.6.jar                           | fabric-screen-api-v1                               | fabric-screen-api-v1.mixins.json
    /META-INF/jars/fabric-screen-handler-api-v1-0.92.6.jar                   | fabric-screen-handler-api-v1                       | fabric-screen-handler-api-v1.mixins.json
    /META-INF/jars/fabric-sound-api-v1-0.92.6.jar                            | fabric-sound-api-v1                                | fabric-sound-api-v1.mixins.json
    /META-INF/jars/fabric-transfer-api-v1-0.92.6.jar                         | fabric-transfer-api-v1                             | fabric-transfer-api-v1.mixins.json
    /META-INF/jars/fabric-transitive-access-wideners-v1-0.92.6.jar           | fabric-transitive-access-wideners-v1               | 
fast-ip-ping-v1.0.7-mc1.20.4-fabric.jar                                      | fastipping                                         | fastipping.mixins.json
fastasyncworldsave-fabric-1.20.1-2.6.jar                                     | fastasyncworldsave                                 | fastasyncworldsave.mixins.json
FastItemFrames-v20.1.5-1.20.1-Fabric.jar                                     | fastitemframes                                     | fastitemframes.common.mixins.json, fastitemframes.fabric.mixins.json
ferritecore-6.0.1-fabric.jar                                                 | ferritecore                                        | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.fabric.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.predicates.mixin.json, ferritecore.fastmap.mixin.json
ForgeConfigAPIPort-v8.0.2-1.20.1-Fabric.jar                                  | forgeconfigapiport                                 | forgeconfigapiport.common.mixins.json
gpumemleakfix-fabric-1.20.1-1.8.jar                                          | gpumemleakfix                                      | gpumemleakfix.mixins.json
ImmediatelyFast-Fabric-1.5.2+1.20.4.jar                                      | immediatelyfast                                    | immediatelyfast-common.mixins.json, immediatelyfast-fabric.mixins.json
    /META-INF/jars/Reflect-1.3.4.jar                                         | net_lenni0451_reflect                              | 
Jade-1.20-Fabric-11.13.1.jar                                                 | jade                                               | jade.mixins.json
jei-1.20.1-fabric-15.20.0.125.jar                                            | jei                                                | jei.mixins.json
lithium-fabric-mc1.20.1-0.11.3.jar                                           | lithium                                            | lithium.mixins.json, mixins.lithium.refmap.json
memoryleakfix-fabric-1.17+-1.1.5.jar                                         | memoryleakfix                                      | memoryleakfix.mixins.json, memoryleakfix-fabric.mixins.json, memoryleakfix-16.mixins.json
modernfix-fabric-5.25.1+mc1.20.1.jar                                         | modernfix                                          | modernfix-common.mixins.json, modernfix-fabric.mixins.json
MouseTweaks-fabric-mc1.20-2.26.jar                                           | mousetweaks                                        | mousetweaks-fabric.mixins.json, mousetweaks.mixins.refmap.json, mousetweaks.mixins.json
NaturesCompass-1.20.1-2.2.3-fabric.jar                                       | naturescompass                                     | naturescompass.mixins.json
NoChatReports-FABRIC-1.20.1-v2.2.2.jar                                       | nochatreports                                      | mixins/fabric/nochatreports-fabric.mixins.json, mixins/common/nochatreports.mixins.json
    /META-INF/jars/fabric-api-base-0.4.29+b04edc7a82.jar                     | fabric-api-base                                    | 
